gene_id;C1A;C1B;C1C;T2A;T2B;T2C;T3A;T3B;T3C;H4A;H4B;H4C;H5A;H5B;H5C;P6A;P6B;P6C;P7A;P7B;P7C;gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;gene_description;tf_family
D9Q99_RS03010;37367.47383;11242.04721;34028.0968;115768.9496;5675.021036;1190.046726;36429.12922;10924.26537;55373.95891;3432.116688;107949.1828;7905.027655;43282.3674;1200.739133;93374.18329;292170.2598;1061115.477;9785128.207;3566655.621;157100.4657;70312.32985;rnpB;NZ_CP033020.1;620025;620401;+;377;protein_coding;--&&-- && -;-
D9Q99_RS05585;26446.91689;6470.89754;24489.2347;154823.454;12732.50655;1823.180163;4157.859766;691.1500408;7789.175934;4912.076541;45310.36323;7375.652051;6000.021946;213.3485228;2838.546761;105128.6956;255368.5618;469512.7293;591188.3857;31046.67942;13461.07912;ssrA;NZ_CP033020.1;1156237;1156599;-;363;protein_coding;--&&-- && -;-
Novel00051;1352.766149;503.9073207;1263.077576;9463.706562;384.5723793;173.3194539;1688.545275;605.2914554;3354.802186;401.072699;8733.345643;422.3452595;1614.513472;179.0678974;3544.234439;11776.49147;84187.17943;600135.7631;189485.2454;6526.256378;2706.164811;-;NZ_CP033020.1;620197;620908;-;712;-;-;-
D9Q99_RS10290;1050.480543;424.8882822;1182.363575;10313.94835;730.5935215;378.0349641;1533.4325;420.6564645;1725.845887;360.6413239;1456.644425;445.0944227;1145.948438;196.1895534;1675.957802;18788.69107;20614.34767;324349.6266;82682.34246;6958.76213;2951.217184;lpp;NZ_CP033020.1;2158986;2159222;-;237;protein_coding;murein lipoprotein Lpp&&sp|P69778|LPP_ECO57 Major outer membrane lipoprotein Lpp OS=Escherichia coli O157:H7 OX=83334 GN=lpp PE=3 SV=1 && PF04728:Lipoprotein leucine-zipper;-
D9Q99_RS14960;7428.596014;1575.290481;7634.185561;18177.86358;2045.238971;456.6180291;787.980639;333.2509878;1128.281757;803.3213955;3957.360103;1099.928819;825.7419792;182.1206122;635.4291695;12834.70129;19829.87666;206030.7174;85501.50694;7775.629575;4209.409234;ybiJ;NZ_CP033020.1;3103825;3104085;+;261;protein_coding;DUF1471 family protein YbiJ&&sp|P0AAX4|YBIJ_ECOL6 Uncharacterized protein YbiJ OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=ybiJ PE=3 SV=1 && PF07338:Protein of unknown function (DUF1471);-
D9Q99_RS18780;1333.051763;454.097215;1319.106743;1399.692099;244.6039876;130.3752103;928.7275517;261.8392194;1149.673802;163.5120137;1739.37389;252.7634353;1020.244261;117.2698328;1136.007589;6521.637429;16095.99166;105480.4118;35356.37698;2904.365049;1275.141156;lpxC;NZ_CP033020.1;3887463;3888380;-;918;protein_coding;UDP-3-O-acyl-N-acetylglucosamine deacetylase&&sp|A7ZHI7|LPXC_ECO24 UDP-3-O-acyl-N-acetylglucosamine deacetylase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=lpxC PE=3 SV=1 && PF03331:UDP-3-O-acyl N-acetylglycosamine deacetylase;-
D9Q99_RS02795;526.5597894;270.0590997;524.6232681;916.2854805;269.7453235;202.8549883;390.1583111;226.0103591;461.7010027;191.2477527;608.6389312;234.3897305;394.1466861;167.9906144;402.7787973;4146.885217;5345.18136;93051.85701;24085.45643;1902.629559;922.2752367;nlpI;NZ_CP033020.1;579388;580272;+;885;protein_coding;lipoprotein NlpI&&sp|P0AFB3|NLPI_ECO57 Lipoprotein NlpI OS=Escherichia coli O157:H7 OX=83334 GN=nlpI PE=2 SV=1 && -;-
D9Q99_RS12780;492.2771668;391.0266734;504.6931232;5049.887523;278.7371163;287.1001252;393.5642452;270.3290431;456.2455776;795.7778384;5401.396837;538.0398067;443.1167685;260.181721;1372.344391;2804.761093;9415.045677;62944.96002;24578.44092;1243.249048;842.5158235;ispE;NZ_CP033020.1;2662682;2663533;+;852;protein_coding;4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase&&sp|A7ZZE4|ISPE_ECOHS 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Escherichia coli O9:H4 (strain HS) OX=331112 GN=ispE PE=3 SV=1 && PF00288:GHMP kinases N terminal domain|PF08544:GHMP kinases C terminal;GHMP_kinases
D9Q99_RS04170;581.0706923;618.4278459;732.7277325;3329.129976;495.0794446;440.0703776;1157.153835;610.0850837;1825.70761;4619.96299;2019.193871;1854.570918;918.3100267;498.9631157;3440.384238;6780.398777;5905.339293;52911.16891;21826.25032;3191.446309;2503.453203;ssrS;NZ_CP033020.1;856530;856713;-;184;protein_coding;6S RNA&&-- && -;-
D9Q99_RS02445;4035.422763;1045.118057;3509.267219;18131.50833;2749.030627;611.5104602;369.1932199;307.4601285;929.8155181;1055.545627;2732.138808;1366.996925;1111.186494;225.4845048;647.5751159;13313.73613;5561.152724;43530.3666;9528.000032;1912.322943;1134.90544;yhcN;NZ_CP033020.1;509848;510111;-;264;protein_coding;peroxide/acid stress response protein YhcN&&sp|P64615|YHCN_ECOL6 Uncharacterized protein YhcN OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=yhcN PE=3 SV=1 && PF07338:Protein of unknown function (DUF1471);-
Novel00106;919.8715501;562.7613611;904.2216534;2627.884666;359.2436816;317.5320199;494.1759152;370.5787402;584.086022;595.5904993;3189.780061;581.2042649;682.8311176;398.2134578;1615.028458;2412.507633;6829.420579;65676.10377;15871.09982;1294.686266;799.9417322;-;NZ_CP033020.1;1398793;1399014;+;222;-;-;-
D9Q99_RS10940;311.8412716;284.3607435;296.7553768;337.6101828;192.8162846;172.9589213;209.1776917;217.3299726;221.7129986;199.481589;155.7332734;188.4639649;190.3182776;171.388167;224.8692822;3261.61387;2101.534942;47522.48376;41802.90081;4768.313382;2942.574185;cspB;NZ_CP033020.1;2281202;2281417;+;216;protein_coding;cold shock-like protein CspB&&sp|P36995|CSPB_ECOLI Cold shock-like protein CspB OS=Escherichia coli (strain K12) OX=83333 GN=cspB PE=1 SV=1 && PF00313:'Cold-shock' DNA-binding domain;CSD
D9Q99_RS15965;369.4819031;211.5710255;345.4232586;652.8416334;234.6146355;240.6890535;313.0169758;231.0156345;322.0673033;222.614748;274.1590153;216.6047954;243.9752374;196.0288886;249.5541809;4678.648955;2443.201635;70883.37795;15032.36977;2598.784752;1232.401699;cspE;NZ_CP033020.1;3295084;3295293;-;210;protein_coding;transcription antiterminator/RNA stability regulator CspE&&sp|P0A974|CSPE_ECO57 Cold shock-like protein CspE OS=Escherichia coli O157:H7 OX=83334 GN=cspE PE=3 SV=2 && PF00313:'Cold-shock' DNA-binding domain;CSD
D9Q99_RS03310;499.2288837;281.1366988;454.0357265;4571.241875;489.0149177;334.1785493;399.4664279;249.3116408;417.4946524;284.2286693;1238.878155;342.512771;508.6815728;232.4023544;420.8902026;4980.285477;6201.329394;58175.97837;16428.23815;1475.364763;715.5337735;rpsU;NZ_CP033020.1;684865;685080;-;216;protein_coding;30S ribosomal protein S21&&sp|A8APV6|RS21_CITK8 30S ribosomal protein S21 OS=Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=290338 GN=rpsU PE=1 SV=1 && PF01165:Ribosomal protein S21;-
D9Q99_RS13375;1895.156366;562.030646;2050.754215;5170.440371;721.4176645;231.3607546;307.5566391;172.3931634;377.2553066;310.8875698;725.5338383;349.8199671;276.7846784;139.3688247;230.578038;7288.894237;7825.423853;38056.75151;27482.86049;2007.571134;1009.373041;bssS;NZ_CP033020.1;2784307;2784561;+;255;protein_coding;biofilm formation regulator BssS&&sp|P0AB34|BSSS_ECOL6 Biofilm regulator BssS OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=bssS PE=3 SV=1 && PF13991:BssS protein family;-
